"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\barraLateral.css", "PostCSS", 0, 101, 0, 1, 16, 118
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\login.css", "PostCSS", 0, 36, 0, 0, 5, 41
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\main.css", "PostCSS", 0, 16, 0, 0, 5, 21
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\stylesDomiciliario.css", "PostCSS", 0, 447, 0, 8, 75, 530
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\stylesTienda.css", "PostCSS", 0, 424, 0, 9, 76, 509
"c:\Users\fquin\Documents\appweb\FRONTEND\CSS\stylessGestion.css", "PostCSS", 0, 419, 0, 7, 66, 492
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\auth.js", "JavaScript", 0, 0, 10, 0, 1, 11
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\datosGlobales.js", "JavaScript", 0, 0, 89, 10, 17, 116
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\estadoGlobal.js", "JavaScript", 0, 0, 108, 9, 20, 137
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\login.js", "JavaScript", 0, 0, 86, 10, 21, 117
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\router.js", "JavaScript", 0, 0, 27, 0, 4, 31
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\scriptTienda.js", "JavaScript", 0, 0, 277, 53, 57, 387
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\scriptsDomiciliario.js", "JavaScript", 0, 0, 250, 46, 49, 345
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\scriptsGestion.js", "JavaScript", 0, 0, 262, 37, 46, 345
"c:\Users\fquin\Documents\appweb\FRONTEND\JS\sistemaEventos.js", "JavaScript", 0, 0, 36, 7, 6, 49
"c:\Users\fquin\Documents\appweb\FRONTEND\index.html", "HTML", 61, 0, 0, 0, 7, 68
"c:\Users\fquin\Documents\appweb\FRONTEND\indexDomiciliario.html", "HTML", 158, 0, 0, 4, 4, 166
"c:\Users\fquin\Documents\appweb\FRONTEND\indexGestion.html", "HTML", 165, 0, 0, 4, 5, 174
"c:\Users\fquin\Documents\appweb\FRONTEND\indexTienda.html", "HTML", 132, 0, 0, 6, 7, 145
"c:\Users\fquin\Documents\appweb\FRONTEND\login.html", "HTML", 42, 0, 0, 3, 2, 47
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Proveedores\proveedores.css", "PostCSS", 0, 401, 0, 14, 66, 481
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Proveedores\proveedores.html", "HTML", 112, 0, 0, 1, 4, 117
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Proveedores\proveedores.js", "JavaScript", 0, 0, 316, 60, 83, 459
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Usuarios\Usuarios.css", "PostCSS", 0, 278, 0, 0, 44, 322
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Usuarios\Usuarios.html", "HTML", 102, 0, 0, 5, 4, 111
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\Usuarios\Usuarios.js", "JavaScript", 0, 0, 178, 20, 50, 248
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\carrito\carrito.css", "PostCSS", 0, 161, 0, 1, 27, 189
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\carrito\carrito.html", "HTML", 42, 0, 0, 1, 1, 44
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\carrito\carrito.js", "JavaScript", 0, 0, 208, 21, 37, 266
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\catalogo\catalogo.css", "PostCSS", 0, 137, 0, 47, 18, 202
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\catalogo\catalogo.html", "HTML", 17, 0, 0, 2, 0, 19
"c:\Users\fquin\Documents\appweb\FRONTEND\modules\catalogo\catalogo.js", "JavaScript", 0, 0, 132, 39, 30, 201
