Date : 2025-05-23 23:44:58
Directory : c:\Users\fquin\Documents\appweb\BACKEND
Total : 76 files,  2275 codes, 104 comments, 757 blanks, all 3136 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         67 |      2,016 |         63 |        688 |      2,767 |
| Markdown        |          4 |        147 |          0 |         26 |        173 |
| Gradle          |          2 |         63 |          9 |         20 |         92 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Java Properties |          1 |          7 |          0 |          1 |          8 |
| JSON            |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         76 |      2,275 |        104 |        757 |      3,136 |
| . (Files)                                                                                                                |          3 |        104 |         41 |         42 |        187 |
| .VSCodeCounter                                                                                                           |          5 |        148 |          0 |         26 |        174 |
| .VSCodeCounter\2025-05-23_23-43-44                                                                                       |          5 |        148 |          0 |         26 |        174 |
| gradle                                                                                                                   |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                                           |          1 |          7 |          0 |          1 |          8 |
| src                                                                                                                      |         67 |      2,016 |         63 |        688 |      2,767 |
| src\jmh                                                                                                                  |          1 |         36 |          2 |          8 |         46 |
| src\jmh\java                                                                                                             |          1 |         36 |          2 |          8 |         46 |
| src\jmh\java\benchmark                                                                                                   |          1 |         36 |          2 |          8 |         46 |
| src\main                                                                                                                 |         58 |      1,538 |         54 |        525 |      2,117 |
| src\main\java                                                                                                            |         58 |      1,538 |         54 |        525 |      2,117 |
| src\main\java\com                                                                                                        |         58 |      1,538 |         54 |        525 |      2,117 |
| src\main\java\com\proyectoweb                                                                                            |         58 |      1,538 |         54 |        525 |      2,117 |
| src\main\java\com\proyectoweb\appweb                                                                                     |         58 |      1,538 |         54 |        525 |      2,117 |
| src\main\java\com\proyectoweb\appweb (Files)                                                                             |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\proyectoweb\appweb\config                                                                              |          2 |         37 |          0 |          7 |         44 |
| src\main\java\com\proyectoweb\appweb\controladores                                                                       |         14 |        484 |         16 |        144 |        644 |
| src\main\java\com\proyectoweb\appweb\entidades                                                                           |         14 |        461 |          7 |        144 |        612 |
| src\main\java\com\proyectoweb\appweb\repositorio                                                                         |         13 |         83 |          1 |         65 |        149 |
| src\main\java\com\proyectoweb\appweb\servicios                                                                           |         14 |        464 |         30 |        160 |        654 |
| src\test                                                                                                                 |          8 |        442 |          7 |        155 |        604 |
| src\test\java                                                                                                            |          8 |        442 |          7 |        155 |        604 |
| src\test\java\com                                                                                                        |          8 |        442 |          7 |        155 |        604 |
| src\test\java\com\proyectoweb                                                                                            |          8 |        442 |          7 |        155 |        604 |
| src\test\java\com\proyectoweb\appweb                                                                                     |          8 |        442 |          7 |        155 |        604 |
| src\test\java\com\proyectoweb\appweb (Files)                                                                             |          3 |        141 |          7 |         41 |        189 |
| src\test\java\com\proyectoweb\appweb\servicios                                                                           |          5 |        301 |          0 |        114 |        415 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                 | language        | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\fquin\Documents\appweb\BACKEND\.VSCodeCounter\2025-05-23_23-43-44\details.md                                    | Markdown        |         87 |          0 |          6 |         93 |
| c:\Users\fquin\Documents\appweb\BACKEND\.VSCodeCounter\2025-05-23_23-43-44\diff-details.md                               | Markdown        |          9 |          0 |          6 |         15 |
| c:\Users\fquin\Documents\appweb\BACKEND\.VSCodeCounter\2025-05-23_23-43-44\diff.md                                       | Markdown        |         12 |          0 |          7 |         19 |
| c:\Users\fquin\Documents\appweb\BACKEND\.VSCodeCounter\2025-05-23_23-43-44\results.json                                  | JSON            |          1 |          0 |          0 |          1 |
| c:\Users\fquin\Documents\appweb\BACKEND\.VSCodeCounter\2025-05-23_23-43-44\results.md                                    | Markdown        |         39 |          0 |          7 |         46 |
| c:\Users\fquin\Documents\appweb\BACKEND\build.gradle                                                                     | Gradle          |         62 |          9 |         19 |         90 |
| c:\Users\fquin\Documents\appweb\BACKEND\gradle\wrapper\gradle-wrapper.properties                                         | Java Properties |          7 |          0 |          1 |          8 |
| c:\Users\fquin\Documents\appweb\BACKEND\gradlew.bat                                                                      | Batch           |         41 |         32 |         22 |         95 |
| c:\Users\fquin\Documents\appweb\BACKEND\settings.gradle                                                                  | Gradle          |          1 |          0 |          1 |          2 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\jmh\java\benchmark\ProductoServicioBenchmark.java                            | Java            |         36 |          2 |          8 |         46 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\AppwebApplication.java                      | Java            |          9 |          0 |          5 |         14 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\config\WebSocketConfig.java                 | Java            |          0 |          0 |          1 |          1 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\config\webConfig.java                       | Java            |         37 |          0 |          6 |         43 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\DetallePedidoControlador.java | Java            |         33 |          0 |         11 |         44 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\DomiciliarioControlador.java  | Java            |         33 |          0 |         11 |         44 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\EnvioControlador.java         | Java            |         33 |          0 |         11 |         44 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\EstadoGlobalController.java   | Java            |          0 |          0 |          1 |          1 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\FacturaControlador.java       | Java            |         28 |          0 |         10 |         38 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\InventarioControlador.java    | Java            |         40 |          0 |         11 |         51 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\PagoControlador.java          | Java            |         33 |          0 |         11 |         44 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\PedidoControlador.java        | Java            |         57 |          1 |         16 |         74 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\PersonaControlador.java       | Java            |         28 |          0 |         10 |         38 |
